route_id,routename,Month_Beginning,Avg_Weekday_Rides,Avg_Saturday_Rides,Avg_Sunday-Holiday_Rides,MonthTotal,centroid_lat,centroid_lon,client_id
1,Indiana/Hyde Park,2001-01-01,6982.6,0.0,0.0,153617,41.86270845009074,-87.62751832486389,4
2,Hyde Park Express,2001-01-01,1000.0,0.0,0.0,22001,41.83797426358696,-87.60603438043478,0
3,King Drive,2001-01-01,21406.5,13210.7,8725.3,567413,41.81207199935107,-87.61900935561324,0
4,Cottage Grove,2001-01-01,22432.2,17994.0,10662.2,618796,41.79346131587302,-87.61174186507937,0
6,Jackson Park Express,2001-01-01,18443.0,13088.2,7165.6,493926,41.81521174333877,-87.59344591789015,0
7,Harrison,2001-01-01,5504.4,0.0,0.0,121097,41.87511370790816,-87.66249154846939,5
8,Halsted,2001-01-01,19582.2,12420.0,8280.8,521892,41.852703962273644,-87.64741231690141,5
8A,South Halsted,2001-01-01,3196.5,3006.6,1336.2,89030,41.71725633639495,-87.64205832721011,2
9,Ashland,2001-01-01,29265.4,22621.7,15336.1,811006,41.847488411901445,-87.66614635704323,5
11,Lincoln/Sedgwick,2001-01-01,3448.7,1667.3,869.5,86887,41.99252418870968,-87.70289943387097,6
12,Roosevelt,2001-01-01,10763.5,6950.6,4691.0,288055,41.86665699568966,-87.69360280517242,5
18,16th/18th,2001-01-01,1923.8,898.5,642.3,49130,41.8588593442029,-87.72437428623189,5
20,Madison,2001-01-01,21570.3,12804.3,8184.0,566683,41.881294665647296,-87.69337781549439,5
21,Cermak,2001-01-01,7423.7,7747.2,4781.0,218216,41.851482421323055,-87.7081956056519,5
22,Clark,2001-01-01,21206.2,14634.5,10462.2,577386,41.94712498175182,-87.65297887226278,4
24,Wentworth,2001-01-01,3893.4,0.0,0.0,85655,41.81418132816137,-87.63115587509697,0
28,Stony Island,2001-01-01,11964.9,11269.6,5587.8,336246,41.80139024593967,-87.59824213689096,0
29,State,2001-01-01,16328.2,12511.5,8537.9,451955,41.81664578911564,-87.62584710827664,0
30,South Chicago,2001-01-01,3823.5,1960.2,652.2,95218,41.70633345603752,-87.55784333645956,2
34,South Michigan,2001-01-01,7911.6,5744.2,3580.5,214933,41.685294710353865,-87.61780620314549,2
35,35th,2001-01-01,5977.7,3342.5,1810.1,153931,41.83288785258964,-87.68449886155378,5
36,Broadway,2001-01-01,15360.0,13898.6,8687.4,436950,41.93648539526542,-87.64466189454807,4
37,Sedgwick,2001-01-01,2500.6,0.0,0.0,55014,41.90034350930626,-87.63841551776649,4
39,Pershing,2001-01-01,2249.6,0.0,0.0,49492,41.824165926689574,-87.65635449026347,5
43,43rd,2001-01-01,1351.0,679.3,354.8,34213,41.816307030501086,-87.62689561220044,0
44,Wallace-Racine,2001-01-01,6559.2,2696.0,1564.6,162910,41.79913625199203,-87.64913145219123,7
47,47th,2001-01-01,8069.8,6422.7,3490.7,220680,41.80519930159706,-87.68395456142505,7
48,South Damen,2001-01-01,1120.6,0.0,0.0,24654,41.77432695428572,-87.67480585428571,7
49,Western,2001-01-01,23732.1,20598.9,12432.2,666662,41.8634918214649,-87.68599027873856,5
49B,North Western,2001-01-01,5087.6,3065.0,1954.1,133958,41.99245736165577,-87.68971186056645,6
X49,Western Express,2001-01-01,5131.8,0.0,0.0,112899,41.863894052938065,-87.6859992599259,5
50,Damen,2001-01-01,8322.7,4419.7,2470.1,213128,41.91504755564648,-87.67671287397708,4
51,51st,2001-01-01,4654.8,3675.0,2169.4,127952,41.802107210526316,-87.66349260526316,7
52,Kedzie/California,2001-01-01,11592.4,8223.9,5112.6,313490,41.84108998082454,-87.70487544199425,5
52A,South Kedzie,2001-01-01,5919.1,3596.1,1925.5,154232,41.741102609879036,-87.70325261088709,7
53,Pulaski,2001-01-01,21726.0,15984.4,9466.2,589242,41.87115787077949,-87.72562793830762,5
53A,South Pulaski,2001-01-01,9037.4,3198.0,1417.1,218700,41.741355448705654,-87.72179026653883,3
54,Cicero,2001-01-01,12138.9,9536.3,5940.5,334903,41.902075903189065,-87.74587446241458,1
54A,North Cicero/Skokie Blvd.,2001-01-01,1281.3,0.0,0.0,28188,42.010730629310345,-87.74814805555555,6
54B,South Cicero,2001-01-01,4775.5,4468.6,2377.5,134823,41.80321414405987,-87.743139,3
55,Garfield,2001-01-01,12778.5,9126.4,6495.9,350112,41.79341361610738,-87.6622817771812,7
55N,55th/Narragansett,2001-01-01,1071.8,164.4,0.0,24237,41.789007552962296,-87.76397602513465,3
56,Milwaukee,2001-01-01,14274.6,9160.4,6174.4,381555,41.92085398073836,-87.69395108105938,1
57,Laramie,2001-01-01,3042.6,1412.8,616.1,75668,41.89084842175573,-87.75444982633587,1
59,59th/61st,2001-01-01,4260.5,2222.6,0.0,102622,41.786643209703946,-87.65843892845395,7
60,Blue Island/26th,2001-01-01,13431.4,9929.4,6310.6,366761,41.86002097867804,-87.67448119474058,5
62,Archer,2001-01-01,14926.0,6856.3,4667.4,379135,41.831196224383916,-87.68645058819715,5
62H,Archer/Harlem,2001-01-01,1392.2,640.0,0.0,33189,41.789729205,-87.77199206833333,3
63,63rd,2001-01-01,21814.1,17120.8,11466.5,605727,41.77979564413681,-87.66852664820847,7
63W,West 63rd,2001-01-01,2196.4,720.5,378.2,53094,41.77875761893765,-87.77166333949192,3
65,Grand,2001-01-01,6695.3,3173.9,1805.7,169020,41.90243625119237,-87.70207508505564,1
66,Chicago,2001-01-01,21001.5,13332.8,8478.8,557759,41.894955418367346,-87.75548676870748,1
67,67th-69th-71st,2001-01-01,14219.5,9844.6,7025.6,387336,41.76742007088414,-87.65544472865854,7
68,Northwest Highway,2001-01-01,1579.5,608.1,286.5,38614,41.99076776470588,-87.79600088071896,6
70,Division,2001-01-01,11102.5,7625.8,5264.0,301077,41.902938229952824,-87.69604348820755,1
71,71st/South Shore,2001-01-01,7136.7,5565.3,3119.0,194863,41.74483280141287,-87.57029791679749,2
72,North,2001-01-01,15417.4,11359.3,6853.7,418889,41.91005346877602,-87.72004403746878,1
73,Armitage,2001-01-01,4994.3,2688.6,1372.4,127491,41.916391976294996,-87.68754897980685,1
74,Fullerton,2001-01-01,12842.3,9858.6,5968.0,351804,41.92451706951219,-87.72564805365853,1
75,74th-75th,2001-01-01,7081.7,4725.3,2795.5,188676,41.757461065693434,-87.62657061719383,7
76,Diversey,2001-01-01,13254.3,8168.3,4827.2,348404,41.93162639941691,-87.71702104664723,1
77,Belmont,2001-01-01,19856.3,12733.9,8400.0,529774,41.938922492341355,-87.69508701641139,1
78,Montrose,2001-01-01,8891.8,5826.3,3274.2,235297,41.96095534585153,-87.72573755109171,6
79,79th,2001-01-01,30018.4,23808.6,15573.7,833507,41.75099047742364,-87.64993755511288,7
80,Irving Park,2001-01-01,11837.8,8077.1,5275.2,319117,41.95343202188184,-87.74565515390226,1
81,Lawrence,2001-01-01,14489.3,11561.8,7558.0,402803,41.96846732520325,-87.7049734622532,6
81W,West Lawrence,2001-01-01,1577.3,837.2,337.6,39738,41.970650863442394,-87.81219350355619,6
82,Kimball-Homan,2001-01-01,19622.7,11451.6,6745.8,511235,41.91848044162735,-87.7131730678066,1
84,Peterson,2001-01-01,4357.5,2418.1,1145.6,111265,41.99035149163449,-87.71291537451737,6
85,Central,2001-01-01,13188.5,8148.9,4850.7,346996,41.931749138020834,-87.7660684453125,1
85A,North Central,2001-01-01,952.5,148.7,0.0,21550,41.99034514150944,-87.76759155896227,6
86,Narragansett/Ridgeland,2001-01-01,1831.2,0.0,0.0,40287,41.94372222232143,-87.78625384821429,1
87,87th,2001-01-01,15732.2,10389.7,5571.5,415524,41.7363219310987,-87.61182466014897,2
88,Higgins,2001-01-01,1721.8,650.3,523.9,43101,41.98083891774892,-87.79662570779222,6
90,Harlem,2001-01-01,3880.4,3002.1,1382.3,104289,41.93290927759563,-87.806272884153,1
91,Austin,2001-01-01,8583.5,4415.0,2384.8,218421,41.922064203910615,-87.77469446834264,1
92,Foster,2001-01-01,7414.5,4123.2,2316.9,191196,41.97553821244926,-87.71099686874155,6
93,California/Dodge,2001-01-01,2228.0,1057.5,0.0,53246,41.994591682428485,-87.69917861237596,6
94,South California,2001-01-01,10603.7,4792.6,3467.0,269786,41.84402417050438,-87.6927409424342,5
96,Lunt,2001-01-01,1343.2,0.0,0.0,29550,42.007895844943825,-87.69302311460675,6
97,Skokie,2001-01-01,3681.4,2066.7,1167.5,95096,42.03062502588235,-87.72305241529412,6
100,Jeffery Manor Express,2001-01-01,1167.0,0.0,0.0,25673,41.71237291281513,-87.56646247058823,2
103,West 103rd,2001-01-01,3704.9,1564.8,1071.0,93121,41.70873327922971,-87.66023258734526,2
106,East 103rd,2001-01-01,2317.8,570.3,398.4,55265,41.71061450131926,-87.60840132981531,2
108,Halsted/95th,2001-01-01,2928.1,0.0,0.0,64417,41.68358077969762,-87.64205396112311,2
111,Pullman/111th/115th,2001-01-01,6074.4,3474.9,2062.4,157849,41.69988641471572,-87.6326567541806,2
112,Vincennes/111th,2001-01-01,3874.0,1439.3,935.1,95661,41.69156394879518,-87.69255675903614,2
119,Michigan/119th,2001-01-01,5171.2,4747.3,2890.1,147205,41.69011609228971,-87.63521464836448,2
120,Ogilvie/Wacker Express,2001-01-01,635.5,0.0,0.0,13982,41.888464093495934,-87.62822727642276,4
121,Union/Wacker Express,2001-01-01,1210.6,0.0,0.0,26633,41.88603991634981,-87.63126987452472,4
125,Water Tower Express,2001-01-01,2690.8,0.0,0.0,59197,41.88733831147541,-87.63450946994536,4
126,Jackson,2001-01-01,10129.2,4785.9,2650.5,255239,41.87703924742268,-87.69833780491673,5
135,Clarendon/LaSalle Express,2001-01-01,2621.3,0.0,0.0,57669,41.91916866069651,-87.63220687363184,4
136,Sheridan/LaSalle Express,2001-01-01,2055.4,0.0,0.0,45218,41.93659799649431,-87.63807529272567,4
146,Inner Drive/Michigan Express,2001-01-01,9355.1,5362.4,3117.4,242849,41.909313351541854,-87.63023937621145,4
147,Outer Drive Express,2001-01-01,8812.6,5443.1,0.0,215649,41.94978855037187,-87.6424022204192,4
151,Sheridan,2001-01-01,23604.8,14136.3,11694.7,634324,41.93797105971049,-87.64200677020507,4
152,Addison,2001-01-01,10738.1,4457.2,2287.1,265503,41.94578617056856,-87.77585209364548,1
155,Devon,2001-01-01,7283.4,5229.9,3555.3,198930,41.99942776973685,-87.67911623464911,6
156,LaSalle,2001-01-01,9039.1,0.0,0.0,198859,41.91054481885857,-87.63572922952854,4
157,Streeterville/Taylor,2001-01-01,3315.2,0.0,0.0,72933,41.872754388790035,-87.66236111209965,5
169,69th-UPS Express,2001-01-01,885.9,53.7,0.0,19704,41.74927048829613,-87.7551320397387,3
171,U. of Chicago/Hyde Park,2001-01-01,864.9,413.2,178.3,21573,41.793179976351354,-87.59417782770271,0
172,U. of Chicago/Kenwood,2001-01-01,890.2,74.4,46.6,20116,41.79624544061303,-87.59702345977011,0
201,Central/Ridge,2001-01-01,1275.3,615.9,268.9,31865,42.050306421180274,-87.69875863783346,6
1,Indiana/Hyde Park,2001-02-01,7401.4,0.0,0.0,148028,41.86270845009074,-87.62751832486389,4
2,Hyde Park Express,2001-02-01,976.8,0.0,0.0,19535,41.83797426358696,-87.60603438043478,0
3,King Drive,2001-02-01,23226.0,14743.0,10136.2,564037,41.81207199935107,-87.61900935561324,0
4,Cottage Grove,2001-02-01,23907.9,17637.0,11797.6,595896,41.79346131587302,-87.61174186507937,0
6,Jackson Park Express,2001-02-01,19337.2,12335.8,7917.8,467758,41.81521174333877,-87.59344591789015,0
7,Harrison,2001-02-01,5684.4,0.0,0.0,113688,41.87511370790816,-87.66249154846939,5
8,Halsted,2001-02-01,20741.7,12528.9,9279.6,502067,41.852703962273644,-87.64741231690141,5
8A,South Halsted,2001-02-01,3296.3,2786.2,1535.4,83212,41.71725633639495,-87.64205832721011,2
9,Ashland,2001-02-01,31183.8,23385.3,16717.4,784087,41.847488411901445,-87.66614635704323,5
11,Lincoln/Sedgwick,2001-02-01,3606.1,1661.2,969.2,82644,41.99252418870968,-87.70289943387097,6
12,Roosevelt,2001-02-01,11000.4,6809.7,5125.9,267751,41.86665699568966,-87.69360280517242,5
18,16th/18th,2001-02-01,2075.4,896.8,618.7,47570,41.8588593442029,-87.72437428623189,5
20,Madison,2001-02-01,23086.4,13594.9,8935.2,551849,41.881294665647296,-87.69337781549439,5
21,Cermak,2001-02-01,7910.0,7563.8,5991.4,212421,41.851482421323055,-87.7081956056519,5
22,Clark,2001-02-01,21849.7,14712.5,11108.6,540279,41.94712498175182,-87.65297887226278,4
24,Wentworth,2001-02-01,4403.2,0.0,0.0,88063,41.81418132816137,-87.63115587509697,0
28,Stony Island,2001-02-01,12843.1,10029.1,5978.7,320893,41.80139024593967,-87.59824213689096,0
29,State,2001-02-01,17481.6,12203.1,8857.2,433873,41.81664578911564,-87.62584710827664,0
30,South Chicago,2001-02-01,4110.7,1961.2,861.2,93503,41.70633345603752,-87.55784333645956,2
34,South Michigan,2001-02-01,8251.8,5887.7,3809.4,203824,41.685294710353865,-87.61780620314549,2
35,35th,2001-02-01,6043.6,3262.6,1942.6,141693,41.83288785258964,-87.68449886155378,5
36,Broadway,2001-02-01,15751.5,13133.7,9224.7,404463,41.93648539526542,-87.64466189454807,4
37,Sedgwick,2001-02-01,2593.3,0.0,0.0,51866,41.90034350930626,-87.63841551776649,4
39,Pershing,2001-02-01,2242.9,0.0,0.0,44859,41.824165926689574,-87.65635449026347,5
43,43rd,2001-02-01,1390.6,658.6,358.1,31879,41.816307030501086,-87.62689561220044,0
44,Wallace-Racine,2001-02-01,6877.6,2743.4,1560.6,154768,41.79913625199203,-87.64913145219123,7
47,47th,2001-02-01,8636.0,6242.4,3854.1,213107,41.80519930159706,-87.68395456142505,7
48,South Damen,2001-02-01,1293.9,0.0,0.0,25878,41.77432695428572,-87.67480585428571,7
49,Western,2001-02-01,24342.7,19506.1,12396.5,614464,41.8634918214649,-87.68599027873856,5
49B,North Western,2001-02-01,5039.0,3296.3,2091.9,122332,41.99245736165577,-87.68971186056645,6
X49,Western Express,2001-02-01,5654.3,0.0,0.0,113085,41.863894052938065,-87.6859992599259,5
50,Damen,2001-02-01,8839.3,4098.7,2818.2,204453,41.91504755564648,-87.67671287397708,4
51,51st,2001-02-01,5124.6,3593.9,2348.6,126263,41.802107210526316,-87.66349260526316,7
52,Kedzie/California,2001-02-01,12412.4,8292.8,5632.1,303947,41.84108998082454,-87.70487544199425,5
52A,South Kedzie,2001-02-01,6113.8,3246.1,1877.1,142769,41.741102609879036,-87.70325261088709,7
53,Pulaski,2001-02-01,22111.6,14411.7,9369.9,537359,41.87115787077949,-87.72562793830762,5
53A,South Pulaski,2001-02-01,9793.7,2957.6,1508.8,213739,41.741355448705654,-87.72179026653883,3
54,Cicero,2001-02-01,13016.8,9070.8,6677.5,323328,41.902075903189065,-87.74587446241458,1
54A,North Cicero/Skokie Blvd.,2001-02-01,1373.7,0.0,0.0,27474,42.010730629310345,-87.74814805555555,6
54B,South Cicero,2001-02-01,4818.1,4191.1,2589.8,123486,41.80321414405987,-87.743139,3
55,Garfield,2001-02-01,13244.6,8902.1,7052.3,328710,41.79341361610738,-87.6622817771812,7
55N,55th/Narragansett,2001-02-01,1162.0,162.8,0.0,23891,41.789007552962296,-87.76397602513465,3
56,Milwaukee,2001-02-01,14732.9,8891.0,6289.6,355380,41.92085398073836,-87.69395108105938,1
57,Laramie,2001-02-01,3077.0,1423.8,650.2,69836,41.89084842175573,-87.75444982633587,1
59,59th/61st,2001-02-01,4593.0,2230.1,0.0,100781,41.786643209703946,-87.65843892845395,7
60,Blue Island/26th,2001-02-01,14023.4,9395.7,6819.6,345328,41.86002097867804,-87.67448119474058,5
62,Archer,2001-02-01,15473.0,6770.3,4642.1,355110,41.831196224383916,-87.68645058819715,5
62H,Archer/Harlem,2001-02-01,1447.2,552.9,0.0,31155,41.789729205,-87.77199206833333,3
63,63rd,2001-02-01,22932.3,18001.7,12559.4,580890,41.77979564413681,-87.66852664820847,7
63W,West 63rd,2001-02-01,2234.9,644.8,424.3,48975,41.77875761893765,-87.77166333949192,3
65,Grand,2001-02-01,6868.3,2964.6,1706.3,156050,41.90243625119237,-87.70207508505564,1
66,Chicago,2001-02-01,21441.0,12708.4,8070.9,511938,41.894955418367346,-87.75548676870748,1
67,67th-69th-71st,2001-02-01,14717.0,9908.3,7177.1,362682,41.76742007088414,-87.65544472865854,7
68,Northwest Highway,2001-02-01,1758.8,649.5,257.5,38803,41.99076776470588,-87.79600088071896,6
70,Division,2001-02-01,10967.6,7142.3,5658.5,270554,41.902938229952824,-87.69604348820755,1
71,71st/South Shore,2001-02-01,7650.9,5818.3,3525.7,190393,41.74483280141287,-87.57029791679749,2
72,North,2001-02-01,15783.4,10803.7,7612.3,389332,41.91005346877602,-87.72004403746878,1
73,Armitage,2001-02-01,5320.6,2199.4,1419.2,120886,41.916391976294996,-87.68754897980685,1
74,Fullerton,2001-02-01,13381.0,10172.3,7385.9,337853,41.92451706951219,-87.72564805365853,1
75,74th-75th,2001-02-01,7381.3,4746.8,3080.6,178935,41.757461065693434,-87.62657061719383,7
76,Diversey,2001-02-01,13775.4,6886.9,5484.3,324993,41.93162639941691,-87.71702104664723,1
77,Belmont,2001-02-01,20885.2,12153.8,8920.7,502001,41.938922492341355,-87.69508701641139,1
78,Montrose,2001-02-01,9341.3,5803.6,3336.4,223386,41.96095534585153,-87.72573755109171,6
79,79th,2001-02-01,32205.8,23639.8,16737.1,805623,41.75099047742364,-87.64993755511288,7
80,Irving Park,2001-02-01,11989.0,7662.9,5326.3,291736,41.95343202188184,-87.74565515390226,1
81,Lawrence,2001-02-01,15145.2,11140.3,7563.9,377721,41.96846732520325,-87.7049734622532,6
81W,West Lawrence,2001-02-01,1505.2,851.7,444.0,35286,41.970650863442394,-87.81219350355619,6
82,Kimball-Homan,2001-02-01,21175.6,12105.2,7245.6,500916,41.91848044162735,-87.7131730678066,1
84,Peterson,2001-02-01,4369.3,1983.8,1213.7,100176,41.99035149163449,-87.71291537451737,6
85,Central,2001-02-01,13316.8,8252.3,5260.9,320389,41.931749138020834,-87.7660684453125,1
85A,North Central,2001-02-01,879.8,51.8,0.0,17802,41.99034514150944,-87.76759155896227,6
86,Narragansett/Ridgeland,2001-02-01,2187.0,0.0,0.0,43741,41.94372222232143,-87.78625384821429,1
87,87th,2001-02-01,16279.6,10064.7,6168.6,390526,41.7363219310987,-87.61182466014897,2
88,Higgins,2001-02-01,1705.2,765.6,939.9,40925,41.98083891774892,-87.79662570779222,6
